人民币账户白银	4.16	4.20	4.18	4.19	4.18	2013-11-12 01:39:35
人民币账户铂金	279.44	281.84	280.64	280.84	280.19	2013-11-12 01:39:35
人民币账户钯金	146.35	148.75	147.55	147.80	147.39	2013-11-12 01:39:35
美元账户黄金	1281.55	1284.55	1283.05	1283.58	1282.00	2013-11-12 01:39:35
美元账户白银	21.28	21.43	21.36	21.38	21.34	2013-11-12 01:39:35
美元账户铂金	1426.98	1438.98	1432.98	1434.11	1430.67	2013-11-12 01:39:35
美元账户钯金	747.38	759.38	753.38	754.69	752.60	2013-11-12 01:39:35
人民币账户黄金	250.82	251.62	251.22	251.38	251.07	2013-11-12 01:46:38
人民币账户白银	4.16	4.20	4.18	4.19	4.18	2013-11-12 01:46:38
人民币账户铂金	279.49	281.89	280.69	280.89	280.19	2013-11-12 01:46:38
人民币账户钯金	146.50	148.90	147.70	147.80	147.39	2013-11-12 01:46:38
美元账户黄金	1281.25	1284.25	1282.75	1283.58	1282.00	2013-11-12 01:46:38
美元账户白银	21.28	21.42	21.35	21.38	21.34	2013-11-12 01:46:38
美元账户铂金	1427.21	1439.21	1433.21	1434.22	1430.67	2013-11-12 01:46:38
美元账户钯金	748.18	760.18	754.18	754.69	752.60	2013-11-12 01:46:38
人民币账户黄金	250.81	251.61	251.21	251.38	251.07	2013-11-12 01:48:42
人民币账户白银	4.16	4.20	4.18	4.19	4.18	2013-11-12 01:48:42
人民币账户铂金	279.47	281.87	280.67	280.89	280.19	2013-11-12 01:48:42
人民币账户钯金	146.50	148.90	147.70	147.80	147.39	2013-11-12 01:48:42
美元账户黄金	1281.18	1284.18	1282.68	1283.58	1282.00	2013-11-12 01:48:42
美元账户白银	21.28	21.42	21.35	21.38	21.34	2013-11-12 01:48:42
美元账户铂金	1427.14	1439.14	1433.14	1434.22	1430.67	2013-11-12 01:48:42
美元账户钯金	748.18	760.18	754.18	754.69	752.60	2013-11-12 01:48:42
人民币账户黄金	250.62	251.42	251.02	251.53	250.02	2013-11-12 19:36:00
人民币账户白银	4.13	4.17	4.15	4.20	4.13	2013-11-12 19:36:00
